index,respondent,type,value,value-units,y
2019-01-17 21:00:00,US48,D,471918,megawatthours,471918.0
2019-01-17 22:00:00,US48,D,473546,megawatthours,473546.0
2019-01-17 23:00:00,US48,D,485750,megawatthours,485750.0
2019-01-18 00:00:00,US48,D,497698,megawatthours,497698.0
2019-01-18 01:00:00,US48,D,502842,megawatthours,502842.0
2019-01-18 02:00:00,US48,D,500538,megawatthours,500538.0
2019-01-18 03:00:00,US48,D,488095,megawatthours,488095.0
2019-01-18 04:00:00,US48,D,467567,megawatthours,467567.0
2019-01-18 05:00:00,US48,D,446479,megawatthours,446479.0
2019-01-18 06:00:00,US48,D,427284,megawatthours,427284.0
2019-01-18 07:00:00,US48,D,413260,megawatthours,413260.0
2019-01-18 08:00:00,US48,D,405028,megawatthours,405028.0
2019-01-18 09:00:00,US48,D,402084,megawatthours,402084.0
2019-01-18 10:00:00,US48,D,404761,megawatthours,404761.0
2019-01-18 11:00:00,US48,D,416588,megawatthours,416588.0
2019-01-18 12:00:00,US48,D,444030,megawatthours,444030.0
2019-01-18 13:00:00,US48,D,471942,megawatthours,471942.0
2019-01-18 14:00:00,US48,D,483607,megawatthours,483607.0
2019-01-18 15:00:00,US48,D,486888,megawatthours,486888.0
2019-01-18 16:00:00,US48,D,485133,megawatthours,485133.0
2019-01-18 17:00:00,US48,D,478421,megawatthours,478421.0
2019-01-18 18:00:00,US48,D,471047,megawatthours,471047.0
2019-01-18 19:00:00,US48,D,464289,megawatthours,464289.0
2019-01-18 20:00:00,US48,D,459541,megawatthours,459541.0
2019-01-18 21:00:00,US48,D,455914,megawatthours,455914.0
2019-01-18 22:00:00,US48,D,456409,megawatthours,456409.0
2019-01-18 23:00:00,US48,D,464386,megawatthours,464386.0
2019-01-19 00:00:00,US48,D,476059,megawatthours,476059.0
